Ano,Sorotipo,Casos,CasosExtrap,Porcentagem
2007-06,1,1797,388023.0,54.11
2007-06,2,358,77302.0,10.78
2007-06,3,951,205348.0,28.64
2007-06,4,215,46425.0,6.47
2009-06,1,1640,425888.0,70.9
2009-06,2,339,88034.0,14.66
2009-06,3,258,66999.0,11.15
2009-06,4,76,19736.0,3.29
2010-06,1,5414,1148358.0,83.14
2010-06,2,776,164597.0,11.92
2010-06,3,84,17817.0,1.29
2010-06,4,238,50482.0,3.65
2011-06,1,3875,957313.0,83.24
2011-06,2,389,96102.0,8.36
2011-06,3,47,11611.0,1.01
2011-06,4,344,84985.0,7.39
2012-06,1,1609,394276.0,41.39
2012-06,2,163,39942.0,4.19
2012-06,3,25,6126.0,0.64
2012-06,4,2090,512142.0,53.77
2013-06,1,3140,1151315.0,56.58
2013-06,2,151,55366.0,2.72
2013-06,3,33,12100.0,0.59
2013-06,4,2226,816187.0,40.11
2014-06,1,2370,752093.0,78.17
2014-06,2,31,9838.0,1.02
2014-06,3,13,4125.0,0.43
2014-06,4,618,196115.0,20.38
2015-06,1,5237,2202298.0,91.97
2015-06,2,71,29857.0,1.25
2015-06,3,23,9672.0,0.4
2015-06,4,363,152651.0,6.38
2016-06,1,3881,2127389.0,92.34
2016-06,2,138,75645.0,3.28
2016-06,3,47,25763.0,1.12
2016-06,4,137,75097.0,3.26
2017-06,1,301,276380.0,53.27
2017-06,2,204,187314.0,36.11
2017-06,3,9,8264.0,1.59
2017-06,4,51,46829.0,9.03
2018-06,1,475,191268.0,39.82
2018-06,2,701,282271.0,58.76
2018-06,3,4,1611.0,0.34
2018-06,4,13,5235.0,1.09
2019-06,1,4260,758710.0,33.49
2019-06,2,8052,1434069.0,63.29
2019-06,3,10,1781.0,0.08
2019-06,4,400,71240.0,3.14
2020-06,1,2105,430108.0,28.9
2020-06,2,5137,1049627.0,70.52
2020-06,3,3,613.0,0.04
2020-06,4,39,7969.0,0.54
2021-06,1,2774,643042.0,63.65
2021-06,2,1568,363479.0,35.98
2021-06,3,3,695.0,0.07
2021-06,4,13,3014.0,0.3
2022-06,1,18188,1226796.0,87.93
2022-06,2,2473,166806.0,11.96
2022-06,3,4,270.0,0.02
2022-06,4,19,1282.0,0.09
2023-06,1,38002,1306407.0,86.37
2023-06,2,5874,201932.0,13.35
2023-06,3,106,3644.0,0.24
2023-06,4,17,584.0,0.04
2024-06,1,39471,1920009.0,67.05
2024-06,2,19074,927827.0,32.4
2024-06,3,300,14593.0,0.51
2024-06,4,25,1216.0,0.04
